,ctrlength,tempres,category,match,start_dt,stop_dt,SNR,SNR_refined,signal_dB,signal_dB_refined,activation_state,fishing_net,behaviour,group_size,category_remap
9185.json,1.01431835303806,0.009847751000369,87,98.4709749124062,2020-07-17 08:19:37.705615382,2020-07-17 08:19:38.719933735,10.743144094944,12.8897766768932,-55.872284,-53.751938,BEF+DUR,Present,Attraction,7,59
9189.json,1.01069578749149,0.009812580461082,87,98.6460438395387,2020-07-17 08:19:38.643859859,2020-07-17 08:19:39.654555646,7.72933905894362,12.0521398228923,-59.906277,-55.560505,BEF+DUR,Present,Attraction,7,59
9191.json,1.18612411397646,0.00988436761647,81,97.6042014629792,2020-07-17 08:19:11.324207842,2020-07-17 08:19:12.510331956,18.3014907836914,20.3241248418821,-51.029514,-48.94013,BEF+DUR,Present,Attraction,7,16
9290.json,1.15016666533399,0.009830484319094,88,97.640492104414,2020-07-17 09:07:03.821119168,2020-07-17 09:07:04.971285834,14.0417248408,16.4381983545091,-60.204727,-57.94371,AFT,Present,Attraction,4,147
9301.json,1.33870993329852,0.009916369876285,89,98.4732239772313,2020-07-17 09:19:58.013180333,2020-07-17 09:19:59.351890267,16.9076779456366,22.5808208329337,-50.609776,-44.93089,DUR,Present,Milling,10,146
9330.json,1.70164083611526,0.009893260675089,90,99.4956463226049,2020-07-17 09:04:18.981789608,2020-07-17 09:04:20.683430445,22.8518603850748,26.7357255454375,-49.220802,-45.219982,AFT,Present,Attraction,4,44
9336.json,1.69791464305502,0.009929325397983,90,99.165166613231,2020-07-17 09:04:08.166677250,2020-07-17 09:04:09.864591893,17.6825611669693,20.150229368971,-53.38953,-50.921436,AFT,Present,Attraction,4,44
9337.json,1.5711065908591,0.009881173527416,90,98.979164061402,2020-07-17 09:04:30.515044414,2020-07-17 09:04:32.086151005,22.2011014483302,28.1062370339021,-50.029793,-44.09778,AFT,Present,Attraction,4,44
9340.json,1.73593690984546,0.009919639484831,90,98.0991665240967,2020-07-17 09:04:49.793884744,2020-07-17 09:04:51.529821654,21.9732792005626,25.7918066497243,-52.185772,-48.36725,AFT,Present,Attraction,4,44
9373.json,1.23672808927127,0.00989382471417,91,99.0063668959969,2020-07-17 09:18:00.908217021,2020-07-17 09:18:02.144945110,23.0008319977791,29.5690693516885,-48.222412,-41.639874,BEF+DUR,Present,Milling,10,149
